Category,Name,Link
Weblink,HuBMAP Ingest Portal,https://ingest.hubmapconsortium.org/
Weblink,Common Coordinate Framework (CCF) Registration,https://hubmapconsortium.github.io/ccf-ui/rui/
Youtube ,RUI v3.0 Tutorial,https://youtu.be/gY3_-LIoKaU
Youtube ,How to double-check a RUI registration with the EUI,https://youtu.be/UloDIG0S64w
GitHub,GitHub issues,https://github.com/hubmapconsortium/ccf-ui/issues/new
Email ,Andreas Bueckle ,abueckle@iu.edu
Weblink,CCF Exploration User Interface (EUI),https://portal.hubmapconsortium.org/ccf-eui
Drive,RUI Registrations-NonHuBMAP,https://drive.google.com/drive/folders/1RUAwuc-S5hRSkTqMuqHUzF338CxzrjRC
Weblink,HuBMAP Dictionary,https://docs.google.com/document/d/1QhxfvoB0g5_EA6COje74z58xQxyEos7nlhc8-_eSFx4/edit
Document ,RUI ingest flowchart,https://docs.google.com/presentation/d/1bCX0XusohrvLqoo44ygob3-aAQB6-ei7MMiog7Q75ag/edit#slide=id.p1
Weblink,CCF Portal,https://hubmapconsortium.github.io/ccf
Weblink,Common Fund at the National Institutes of Health ,https://commonfund.nih.gov/HuBMAP
Weblink,CCF 3D Reference Object Library,https://hubmapconsortium.github.io/ccf/pages/ccf-3d-reference-library.html
