Category,Name,Link
Weblink,HuBMAP EUI,https://portal.hubmapconsortium.org/ccf-eui
Weblink,HuBMAP Organ Gallery,https://osf.io/z9gm3
SOP,Using a Millitome,https://doi.org/10.5281/zenodo.7382703
Email,Peter Kienle,pmkienle@iu.edu
Github,CCF HuBMAP 3D Reference Object Library,https://hubmapconsortium.github.io/ccf/pages/ccf-3d-reference-library.html
Weblink,OpenSCAD,https://openscad.org
Weblink,Ultimaker Cura,https://ultimaker.com/software/ultimaker-cura/
Weblink,MatterControl,https://www.matterhackers.com/store/l/mattercontrol/sk/MKZGTDW6
Weblink,Blender,https://www.blender.org
Weblink,Maya,https://www.autodesk.com/products/maya/overview?mktvar002=3282941%7CSEM%7C%7Bcampaignid%7D%7C%7Badgroupid%7D%7C%7BTargetId%7D&gclsrc=aw.ds&&ef_id=CjwKCAjw6dmSBhBkEiwA_W-EoJuIGLJr3JAzMd2MGneBAUHoF6Aeagx5QmhqfpHMe6Mfg3FXyaV3MRoC0VwQAvD_BwE:G:s&s_kwcid=AL!11172!3!576638500951!e!!g!!maya%203d!15994942310!134216358442&mkwid=s%7Cpcrid%7C576638500951%7Cpkw%7Cmaya%203d%7Cpmt%7Ce%7Cpdv%7Cc%7Cslid%7C%7Cpgrid%7C134216358442%7Cptaid%7Ckwd-108674390%7Cpid%7C&utm_medium=cpc&utm_source=google&utm_campaign&utm_term=maya%203d&utm_content=s%7Cpcrid%7C576638500951%7Cpkw%7Cmaya%203d%7Cpmt%7Ce%7Cpdv%7Cc%7Cslid%7C%7Cpgrid%7C134216358442%7Cptaid%7Ckwd-108674390%7C&gclid=CjwKCAjw6dmSBhBkEiwA_W-EoJuIGLJr3JAzMd2MGneBAUHoF6Aeagx5QmhqfpHMe6Mfg3FXyaV3MRoC0VwQAvD_BwE&term=1-YEAR&tab=subscription&plc=MAYA
Weblink,Cinema 4D,https://www.maxon.net/en/cinema-4d
Weblink,HRA Portal,https://humanatlas.io/3d-reference-library?version=1.3&organ=Allen%20Brain
Github,Source Kidney Model,https://hubmapconsortium.github.io/ccf-releases/v1.2/models/VH_F_Kidney_L.glb
Github,Organ Placement Script,https://github.com/hubmapconsortium/hra-millitome-generator/blob/0dcc9e7a3fc83f54f924c6b4dcd8240a22f17cda/Helpers/cinema4d/Organ%20Placing.c4d
Github,Organs.config file,https://github.com/hubmapconsortium/hra-millitome-generator/blob/0dcc9e7a3fc83f54f924c6b4dcd8240a22f17cda/millitome-physical/mt-organs.config
Github,Organs Folder,https://github.com/hubmapconsortium/hra-millitome-generator/tree/main/millitome-physical/organs
Github,HRA Millitome Generator,https://github.com/hubmapconsortium/Millitome-V9
Github,STL and Lookup CSV Files for Kidney Millutome,https://github.com/hubmapconsortium/hra-millitome/blob/d710706aa08dbf816486c425b4166a4c745d1912/millitomes/VH_F_Kidney_L/VH_F_Kidney_L_20_Millitomes.zip
References,"Ackerman, Michael J. 1998.“The Visible Human Project.” Proceedings of the IEEE 86 (3): 504–11",https://doi.org/10.1109/5.662875
References,"Börner, Katy, Sarah A. T eichmann, Ellen M. Quardokus, James C. Gee, Kristen Browne, David Osumi-Sutherland, Bruce W. Herr, et al. 2021. “Anatomical Structures, Cell Types and Biomarkers of the Human Reference Atlas.” Nature Cell Biology 23 (11): 1117–28",https://doi.org/10.1038/s41556-021-00788-6
Github,"Browne, K., L. E. Cross, B. W. Herr II, L Record, E Quardokus, A. Bueckle, and K. Börner. 2021. “HuBMAP CCF 3D Reference Object Library. 2021.""",https://hubmapconsortium.github.io/ccf/pages/ccf-3d-reference-library.html.
References,"Spitzer, V., M. J. Ackerman, A. L. Scherzinger, and D. Whitlock. 1996. “The Visible Human Male: A T echnical Report.” Journal of the American Medical Informatics Association 3 (2): 118–30.",https://doi.org/10.1136/jamia.1996.96236280
References,"STL Files Explained | Learn about the STL File Format | Adobe.
” 2023. 2023.",https://www.adobe.com/creativecloud/file-types/image/vector/stl-file.html
Weblink,FBX Files,https://en.wikipedia.org/wiki/FBX
Weblink,GBL/glF Files,https://docs.fileformat.com/3d/glb/
Document,HuBMAP Dictionary,https://docs.google.com/document/d/1QhxfvoB0g5_EA6COje74z58xQxyEos7nlhc8-_eSFx4/edit
